S.No,Order Number,DSN,Serial Number,VIN,CIW Serial No,Variant,Description,Model,Work Content,Region,Status,Skip/hold reason,Outlook,Line in sequence,Production Date,Line in time,Release sequence,Vehicle Order State,Hold Status,Engine status,Transmission status,A4003220479,Axle status,Frame status,Country,CIW Start Time,Vehicle Start Time,Frame Load Time,Engine Order No,Engine Part No,Engine Description,Engine Order State,Engine Start Time,Transmission Order No,Transmission Part No,Transmission Description,Transmission Order State,Transmission Start Time,Frame Order No,Frame Part No,Frame Description,Frame Order State,Frame Start Time,CIW Order,CIW Part,CIW Desc,Paint Order,Paint Part,Paint Desc,Podest Order,Podest Part,Podest Desc,Podest State,Podest Start Time,BB Order Number,BB Part Number,SFC Order Number,SFC Part Number
611,1010138069,,,,,V400987220O0A0802,4828RT10X46575E6.1SLCCHS11RTHDPRHCGPTOAW,4828RT,HWC,Domestic,TENTATIVE ORDER,,,49.0,2026-05-11,3:54 PM,2.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319690.0,E92695601380001,Engine 210KW OBD2 BS6 SAE-1,RECEIVED,,600135140,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233546.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319689.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
612,1200310173,,,,,V400842231O0WK103,2828C6X44575E6.1G13HDDYC18BXHDRGRTHDP YW,2828C,LWC,Domestic,TENTATIVE ORDER,,,50.0,2026-05-11,4:04 PM,3.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51316695.0,E92695601010001,Engine 210KW OBD2 BS6 SAE-1 Rane,RECEIVED,,600133523,T40072800010001,G131 HD 3532C SAE1 SPTO RSI 180 Flange,RECEIVED,,,,,,,54231841.0,C40087910013001C00,THUNDERBOLT-DAY,51316694.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
613,1010138148,,,,,V400871220Y000102,4023T HT 4X2 3300 E6.1 SLC CHS RT HDPAW,4023T,LWC,Domestic,TENTATIVE ORDER,,,51.0,2026-05-11,4:14 PM,4.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319891.0,E92695601620001,Engine 180KW OBD2 BS6 SAE-2 BUP TT,RECEIVED,,600135230,T40072000740001,G131 4228RMC SAE2 180 flange RSI,RECEIVED,,,,,,,54233677.0,C40087900012001C00,THUNDERBOLT-SLEEPER,51319890.0,C40087900012001P02,HDT THUNDERBOLT SLEEPER (ARTIC WHITE) ,,,,,,,,,
614,1200310848,,,,,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,TENTATIVE ORDER,,,52.0,2026-05-11,4:24 PM,5.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319588.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,RECEIVED,,600135086,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233492.0,C40087910013001C00,THUNDERBOLT-DAY,51319587.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
615,1200310213,,,,,V400854231N0F5103,3532C 8X4 5175 E6.1DYC23BXHD RG RTHDP YW,3532C,HWC,Domestic,TENTATIVE ORDER,,,53.0,2026-05-11,4:34 PM,6.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51317203.0,E92695601510001,Engine 320HP BS6 SAE -1,RECEIVED,,600133785,T40072800010001,G131 HD 3532C SAE1 SPTO RSI 180 Flange,RECEIVED,,,,,,,54232144.0,C40087910013001C00,THUNDERBOLT-DAY,51317202.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
616,1010138091,,,,,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,TENTATIVE ORDER,,,54.0,2026-05-11,4:45 PM,7.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319654.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,RECEIVED,,600135119,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,RECEIVED,,,,,,,54233525.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319653.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
617,1010138126,,,,,V400987220O0A0802,4828RT10X46575E6.1SLCCHS11RTHDPRHCGPTOAW,4828RT,HWC,Domestic,TENTATIVE ORDER,,,55.0,2026-05-11,4:55 PM,8.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319919.0,E92695601380001,Engine 210KW OBD2 BS6 SAE-1,RECEIVED,,600135247,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233694.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319918.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
618,1200310853,,,,,V400842231O0FK103,2828C 6X4 4575E6.1DYC18BXHD RG RT HDP YW,2828C,LWC,Domestic,TENTATIVE ORDER,,,56.0,2026-05-11,5:05 PM,9.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319578.0,E92695601010001,Engine 210KW OBD2 BS6 SAE-1 Rane,RECEIVED,,600135081,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233487.0,C40087910013001C00,THUNDERBOLT-DAY,51319577.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
619,1010137983,,,,,V400881220X000102,5532T HT 6X4 3975 E6.1 SLC CHS RT HDPAW,5532T,HWC,Domestic,TENTATIVE ORDER,,,57.0,2026-05-11,5:15 PM,10.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319493.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,RECEIVED,,600135049,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,RECEIVED,,,,,,,54233458.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319492.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
620,1010138092,,,,,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,TENTATIVE ORDER,,,58.0,2026-05-11,5:25 PM,11.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319652.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,RECEIVED,,600135118,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,RECEIVED,,,,,,,54233524.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319651.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
